GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Chance of Admit 
337,118,4,4.5,4.5,9.65,True,0.92
324,107,4,4.0,4.5,8.87,True,0.76
316,104,3,3.0,3.5,8.0,True,0.72
322,110,3,3.5,2.5,8.67,True,0.8
314,103,2,2.0,3.0,8.21,False,0.65
330,115,5,4.5,3.0,9.34,True,0.9
321,109,3,3.0,4.0,8.2,True,0.75
308,101,2,3.0,4.0,7.9,False,0.68
302,102,1,2.0,1.5,8.0,False,0.5
323,108,3,3.5,3.0,8.6,False,0.45
325,106,3,3.5,4.0,8.4,True,0.52
327,111,4,4.0,4.5,9.0,True,0.84
328,112,4,4.0,4.5,9.1,True,0.78
307,109,3,4.0,3.0,8.0,True,0.62
311,104,3,3.5,2.0,8.2,True,0.61
314,105,3,3.5,2.5,8.3,False,0.54
317,107,3,4.0,3.0,8.7,False,0.66
319,106,3,4.0,3.0,8.0,True,0.65
318,110,3,4.0,3.0,8.8,False,0.63
303,102,3,3.5,3.0,8.5,False,0.62
312,107,3,3.0,2.0,7.9,True,0.64
325,114,4,3.0,2.0,8.4,False,0.7
328,116,5,5.0,5.0,9.5,True,0.94
334,119,5,5.0,4.5,9.7,True,0.95
336,119,5,4.0,3.5,9.8,True,0.97
340,120,5,4.5,4.5,9.6,True,0.94
322,109,5,4.5,3.5,8.8,False,0.76
298,98,2,1.5,2.5,7.5,True,0.44
295,93,1,2.0,2.0,7.2,False,0.46
310,99,2,1.5,2.0,7.3,False,0.54
300,97,2,3.0,3.0,8.1,True,0.65
327,103,3,4.0,4.0,8.3,True,0.74
338,118,4,3.0,4.5,9.4,True,0.91
340,114,5,4.0,4.0,9.6,True,0.9
331,112,5,4.0,5.0,9.8,True,0.94
320,110,5,5.0,5.0,9.2,True,0.88
299,106,2,4.0,4.0,8.4,False,0.64
300,105,1,1.0,2.0,7.8,False,0.58
304,105,1,3.0,1.5,7.5,False,0.52
307,108,2,4.0,3.5,7.7,False,0.48
308,110,3,3.5,3.0,8.0,True,0.46
316,105,2,2.5,2.5,8.2,True,0.49
313,107,2,2.5,2.0,8.5,True,0.53
332,117,4,4.5,4.0,9.1,False,0.87
326,113,5,4.5,4.0,9.4,True,0.91
322,110,5,5.0,4.0,9.1,True,0.88
329,114,5,4.0,5.0,9.3,True,0.86
339,119,5,4.5,4.0,9.7,False,0.89
321,110,3,3.5,5.0,8.85,True,0.82
327,111,4,3.0,4.0,8.4,True,0.78
313,98,3,2.5,4.5,8.3,True,0.76
312,100,2,1.5,3.5,7.9,True,0.56
334,116,4,4.0,3.0,8.0,True,0.78
324,112,4,4.0,2.5,8.1,True,0.72
322,110,3,3.0,3.5,8.0,False,0.7
320,103,3,3.0,3.0,7.7,False,0.64
316,102,3,2.0,3.0,7.4,False,0.64
298,99,2,4.0,2.0,7.6,False,0.46
300,99,1,3.0,2.0,6.8,True,0.36
311,104,2,2.0,2.0,8.3,False,0.42
309,100,2,3.0,3.0,8.1,False,0.48
307,101,3,4.0,3.0,8.2,False,0.47
304,105,2,3.0,3.0,8.2,True,0.54
315,107,2,4.0,3.0,8.5,True,0.56
325,111,3,3.0,3.5,8.7,False,0.52
325,112,4,3.5,3.5,8.92,False,0.55
327,114,3,3.0,3.0,9.02,False,0.61
316,107,2,3.5,3.5,8.64,True,0.57
318,109,3,3.5,4.0,9.22,True,0.68
328,115,4,4.5,4.0,9.16,True,0.78
332,118,5,5.0,5.0,9.64,True,0.94
336,112,5,5.0,5.0,9.76,True,0.96
321,111,5,5.0,5.0,9.45,True,0.93
314,108,4,4.5,4.0,9.04,True,0.84
314,106,3,3.0,5.0,8.9,False,0.74
329,114,2,2.0,4.0,8.56,True,0.72
327,112,3,3.0,3.0,8.72,True,0.74
301,99,2,3.0,2.0,8.22,False,0.64
296,95,2,3.0,2.0,7.54,True,0.44
294,93,1,1.5,2.0,7.36,False,0.46
312,105,3,2.0,3.0,8.02,True,0.5
340,120,4,5.0,5.0,9.5,True,0.96
320,110,5,5.0,4.5,9.22,True,0.92
322,115,5,4.0,4.5,9.36,True,0.92
340,115,5,4.5,4.5,9.45,True,0.94
319,103,4,4.5,3.5,8.66,False,0.76
315,106,3,4.5,3.5,8.42,False,0.72
317,107,2,3.5,3.0,8.28,False,0.66
314,108,3,4.5,3.5,8.14,False,0.64
316,109,4,4.5,3.5,8.76,True,0.74
318,106,2,4.0,4.0,7.92,True,0.64
299,97,3,5.0,3.5,7.66,False,0.38
298,98,2,4.0,3.0,8.03,False,0.34
301,97,2,3.0,3.0,7.88,True,0.44
303,99,3,2.0,2.5,7.66,False,0.36
304,100,4,1.5,2.5,7.84,False,0.42
306,100,2,3.0,3.0,8.0,False,0.48
331,120,3,4.0,4.0,8.96,True,0.86
332,119,4,5.0,4.5,9.24,True,0.9
323,113,3,4.0,4.0,8.88,True,0.79
322,107,3,3.5,3.5,8.46,True,0.71
312,105,2,2.5,3.0,8.12,False,0.64
314,106,2,4.0,3.5,8.25,False,0.62
317,104,2,4.5,4.0,8.47,False,0.57
326,112,3,3.5,3.0,9.05,True,0.74
316,110,3,4.0,4.5,8.78,True,0.69
329,111,4,4.5,4.5,9.18,True,0.87
338,117,4,3.5,4.5,9.46,True,0.91
331,116,5,5.0,5.0,9.38,True,0.93
304,103,5,5.0,4.0,8.64,False,0.68
305,108,5,3.0,3.0,8.48,False,0.61
321,109,4,4.0,4.0,8.68,True,0.69
301,107,3,3.5,3.5,8.34,True,0.62
320,110,2,4.0,3.5,8.56,False,0.72
311,105,3,3.5,3.0,8.45,True,0.59
310,106,4,4.5,4.5,9.04,True,0.66
299,102,3,4.0,3.5,8.62,False,0.56
290,104,4,2.0,2.5,7.46,False,0.45
296,99,2,3.0,3.5,7.28,False,0.47
327,104,5,3.0,3.5,8.84,True,0.71
335,117,5,5.0,5.0,9.56,True,0.94
334,119,5,4.5,4.5,9.48,True,0.94
310,106,4,1.5,2.5,8.36,False,0.57
308,108,3,3.5,3.5,8.22,False,0.61
301,106,4,2.5,3.0,8.47,False,0.57
300,100,3,2.0,3.0,8.66,True,0.64
323,113,3,4.0,3.0,9.32,True,0.85
319,112,3,2.5,2.0,8.71,True,0.78
326,112,3,3.5,3.0,9.1,True,0.84
333,118,5,5.0,5.0,9.35,True,0.92
339,114,5,4.0,4.5,9.76,True,0.96
303,105,5,5.0,4.5,8.65,False,0.77
309,105,5,3.5,3.5,8.56,False,0.71
323,112,5,4.0,4.5,8.78,False,0.79
333,113,5,4.0,4.0,9.28,True,0.89
314,109,4,3.5,4.0,8.77,True,0.82
312,103,3,5.0,4.0,8.45,False,0.76
316,100,2,1.5,3.0,8.16,True,0.71
326,116,2,4.5,3.0,9.08,True,0.8
318,109,1,3.5,3.5,9.12,False,0.78
329,110,2,4.0,3.0,9.15,True,0.84
332,118,2,4.5,3.5,9.36,True,0.9
331,115,5,4.0,3.5,9.44,True,0.92
340,120,4,4.5,4.0,9.92,True,0.97
325,112,2,3.0,3.5,8.96,True,0.8
320,113,2,2.0,2.5,8.64,True,0.81
315,105,3,2.0,2.5,8.48,False,0.75
326,114,3,3.0,3.0,9.11,True,0.83
339,116,4,4.0,3.5,9.8,True,0.96
311,106,2,3.5,3.0,8.26,True,0.79
334,114,4,4.0,4.0,9.43,True,0.93
332,116,5,5.0,5.0,9.28,True,0.94
321,112,5,5.0,5.0,9.06,True,0.86
324,105,3,3.0,4.0,8.75,False,0.79
326,108,3,3.0,3.5,8.89,False,0.8
312,109,3,3.0,3.0,8.69,False,0.77
315,105,3,2.0,2.5,8.34,False,0.7
309,104,2,2.0,2.5,8.26,False,0.65
306,106,2,2.0,2.5,8.14,False,0.61
297,100,1,1.5,2.0,7.9,False,0.52
315,103,1,1.5,2.0,7.86,False,0.57
